	x1	y1
t1	a	0
t2	a	0
t3	a	0
t4	a	0
t5	a	0
t6	a	0
t7	a	0
t8	a	0
t9	a	0
t10	a	0
t11	a	0
t12	a	0
t13	a	0
t14	a	0
t15	a	0
t16	a	0
t17	a	0
t18	a	0
t19	a	0
t20	a	0
t21	a	0
t22	a	0
t23	a	0
t24	a	0
t25	a	0
t26	a	0
t27	a	0
t28	a	0
t29	a	0
t30	a	0
t31	a	0
t32	a	0
t33	b	0
t34	b	1
t35	b	0
t36	b	1
t37	b	0
t38	b	1
t39	b	0
t40	b	1
t41	b	0
t42	b	1
t43	b	0
t44	b	1
t45	b	0
t46	b	1
t47	b	0
t48	b	1
t49	b	0
t50	b	1
t51	b	0
t52	b	1
t53	b	0
t54	b	1
t55	b	0
t56	b	1
t57	b	0
t58	b	1
t59	b	0
t60	b	1
t61	b	0
t62	b	1
t63	b	0
t64	b	1
