species	bite_force	skull_length
Akodon_aerosus	0.857950729	4.634252908
Akodon_affinis	1.25996856	6.477528031
Akodon_albiventer	0.934174225	5.433584418
Akodon_azarae	0.968587021	4.734972413
Akodon_boliviensis	0.973610844	5.44284014
Akodon_budini	1.307167352	6.65424168
Akodon_cursor	0.956700277	5.105561461
Akodon_dayi	1.137184433	5.716103382
Akodon_dolores	0.890845324	4.485789738
Akodon_fumeus	1.056155776	4.306831058
Akodon_iniscatus	1.276183616	6.614508657
Akodon_juninensis	1.108573426	6.243262034
Akodon_kofordi	0.961094346	5.045917636
Akodon_lindberghi	0.960645839	4.706812097
Akodon_lutescens	1.363481001	7.556772326
Akodon_mimus	1.146489131	5.880883279
Akodon_mollis	0.948573535	4.262938331
Akodon_montensis	1.256885459	6.407705409
Akodon_mystax	1.165321343	5.909357998
Akodon_orophilus	1.181067403	6.346602312
Akodon_paranaensis	0.821262146	4.749041728
Akodon_reigi	1.090430555	6.008296275
Castoria_angustidens	0.995792966	4.908199363
Akodon_siberiae	1.391472801	7.897156807
Akodon_simulator	1.177001124	5.983117416
Akodon_spegazzinii	1.158792957	6.263332097
Akodon_subfuscus	1.146916927	5.585213578
Akodon_sylvanus	0.95260504	4.235766917
Akodon_toba	1.142711462	6.605672056
Akodon_torques	1.104794029	6.82114837
Akodon_varius	1.260398828	5.883164966
