species	eye_width	wing_length	temp
Adelpha_bredowii	1.277869813	3.4518345	35
Agathymus_stephensi	1.13519225	2.428833333	31
Aglais_milberti	0.847803786	2.366664571	21
Agraulis_vanillae	1.344975409	3.655346273	35
Anaea_andria	1.119265	3.25735325	25
Ancyloxypha_numitor	0.582457333	1.1605293	12
Asterocampa_celtis	1.1206357	2.4960207	26
Atlides_halesus	1.102170417	1.9810095	24
Battus_philenor	1.473707929	4.547993286	32
Boloria_bellona	0.684342417	2.183263167	14
Boloria_freija	0.8394484	1.7616803	21
Boloria_frigga	0.93717725	2.116353667	25
Callophrys_augustinus	0.558317	1.172261571	14
Callophrys_gryneus	0.53975	1.237285714	14
Callophrys_niphon	0.611435667	1.303343833	18
Calpodes_ethlius	1.130182857	2.443570714	28
Catasticta_nimbice	1.014246786	2.713285714	34
Chlosyne_janais	1.024128333	2.455113967	25
Chlosyne_lacinia	0.7799484	1.969795667	22
Colias_alexandra	0.942452917	2.5653995	19
Colias_interior	0.831774833	2.4418185	18
Colias_meadii	0.881046385	2.201578231	19
Danaus_plexippus	1.377298875	5.163687625	33
Epargyreus_clarus	1.0673161	2.58739554	26
Erynnis_baptisiae	0.931608	1.647136167	23
Erynnis_icelus	0.6780217	1.4966495	13
Erynnis_juvenalis	0.84223275	1.773313667	26
Erynnis_lucilius	0.6885455	1.5140105	15
Erynnis_martialis	0.771918278	1.587235	12
Eumaeus_atala	0.993536667	2.043	26
Eurytides_marcellus	1.4263152	3.9314912	31
Feniseca_tarquinius	0.664022778	1.4502	16
Glaucopsyche_lygdamus	0.50867425	1.296381625	22
Limenitis_archippus	1.075891063	3.604293875	26
Lycaena_dorcas	0.6037085	1.276283625	18
Lycaena_epixanthe	0.594995	1.2011305	13
Marpesia_petreus	1.360848667	3.795695	27
Megathymus_yuccae	1.154106167	2.767252667	35
Mestra_amymone	0.742776273	2.096994938	14
Nathalis_iole	0.612043625	1.43227675	16
Neophasia_menapia	0.787716688	2.551308875	24
Nymphalis_vaualbum	1.275249	3.4564655	34
Papilio_cresphontes	1.615105333	6.3059686	29
Papilio_polyxenes	1.4058055	4.407577375	27
Papilio_troilus	1.3510229	4.850899	25
Parnassius_clodius	0.930125857	3.29344525	26
Parnassius_smintheus	0.802919333	3.037686333	28
Phyciodes_graphica	0.802919333	1.263168667	28
Phyciodes_phaon	0.728823	1.527287667	16
Phyciodes_tharos	0.8163913	1.7359592	22
Pieris_rapae	0.894989375	2.3455645	19
Plebejus_glandon	0.561580583	1.119025167	14
Plebejus_idas	0.543375063	1.329544875	18
Plebejus_saepiolus	0.620463583	1.406819667	17
Polygonia_comma	0.982175	2.525527833	28
Polygonia_faunus	0.965126643	2.320547929	29
Polygonia_progne	0.859218833	2.367843167	23
Pyrgus_centaureae	0.6752206	1.348121167	12
Pyrgus_communis	0.7550897	1.379255333	16
Satyrium_acadica	0.6211256	1.493165667	23
Satyrium_calanus	0.6174088	1.388892667	16
Satyrium_edwardsii	0.682578625	1.470230875	20
Satyrium_saepium	0.8245684	1.4452792	18
Speyeria_cybele	1.424273813	3.418372875	25
Staphylus_hayhurstii	0.618156625	1.21449275	17
Thorybes_pylades	0.877943938	1.849782875	19
Urbanus_procne	1.0640215	2.221073667	28
Urbanus_proteus	1.0786843	2.3386266	33
Vanessa_annabella	1.0393085	2.409888889	33
Vanessa_atalanta	1.251632417	3.000742	24
Vanessa_virginiensis	1.177787	2.687107333	30
