"long" "lat"
"3" -71.8891236455415 -51.1198511127289
"4" -70.955894470215 -51.1097078295031
"6" -72.9441018555793 -50.0995105917095
"7" -71.9558496388632 -50.1096886974102
"8" -70.955894470215 -50.1097078292609
"9" -69.955894470215 -50.1097078292609
"10" -70.953418797271 -51.8047918413585
"11" -69.9221497782766 -51.8296550306822
"12" -69.0387261281353 -51.9680891828832
"14" -69.955894470215 -51.1097078295031
"15" -69.2662425473787 -51.1481659635436
"16" -68.1173827111433 -49.8330615708616
"18" -72.8846367539794 -49.2747595024778
"20" -71.9251773370441 -48.1078235754546
"21" -70.955894470215 -48.1097078287065
"22" -71.7572629572433 -47.2097764183423
"23" -70.955894470215 -47.1097078283931
"24" -69.0160768046287 -50.0381349562752
"25" -71.955894470215 -49.1097078289956
"26" -70.955894470215 -49.1097078289956
"27" -69.955894470215 -49.1097078289956
"28" -68.955894470215 -49.1097078289956
"29" -68.0047646126928 -49.0826374444435
"30" -69.955894470215 -48.1097078287065
"31" -68.955894470215 -48.1097078287065
"32" -67.955894470215 -48.1097078287065
"33" -66.9761860262902 -48.0832257076368
"35" -66.1849141952553 -47.9020672853741
"36" -68.955894470215 -47.1097078283932
"37" -67.955894470215 -47.1097078283931
"38" -67.0191407653006 -47.2101975716785
"39" -66.1070147627958 -47.3529779265979
"41" -69.955894470215 -47.1097078283932
"42" -70.955894470215 -46.1097078280554
"43" -69.955894470215 -46.1097078280553
"44" -68.955894470215 -46.1097078280554
"45" -67.9893923394485 -46.1054868726053
"46" -69.955894470215 -45.1097078276933
"47" -68.955894470215 -45.1097078276933
"48" -67.955894470215 -45.1097078276933
"49" -67.0165899299576 -44.9969198862058
"50" -68.955894470215 -44.1097078273074
"51" -66.0459622092692 -44.8211043176764
"56" -70.9260883059758 -45.1237004708209
"58" -71.7232908113715 -43.0394297167635
"59" -71.7099271332767 -42.1898390261024
"60" -70.955894470215 -42.109707826468
"61" -70.9330482520034 -44.0841119578996
"62" -69.955894470215 -44.1097078273074
"63" -70.955894470215 -43.1097078268986
"64" -69.955894470215 -43.1097078268985
"65" -68.955894470215 -43.1097078268986
"66" -67.955894470215 -43.1097078268986
"67" -69.955894470215 -42.109707826468
"68" -68.955894470215 -42.109707826468
"69" -67.955894470215 -42.109707826468
"70" -66.955894470215 -42.109707826468
"71" -71.6629351761424 -41.101007782543
"72" -70.955894470215 -41.1097078260172
"73" -69.955894470215 -41.1097078260172
"74" -70.955894470215 -40.1097078255481
"75" -69.955894470215 -40.1097078255481
"76" -68.955894470215 -40.1097078255481
"77" -67.955894470215 -40.1097078255481
"78" -69.955894470215 -39.1097078250632
"79" -68.955894470215 -39.1097078250633
"80" -67.955894470215 -39.1097078250632
"81" -68.955894470215 -41.1097078260172
"82" -67.955894470215 -41.1097078260172
"83" -66.955894470215 -41.1097078260172
"84" -65.955894470215 -41.1097078260172
"85" -66.955894470215 -40.1097078255481
"86" -65.955894470215 -40.1097078255481
"87" -64.955894470215 -40.1097078255481
"88" -65.955894470215 -39.1097078250633
"89" -64.955894470215 -39.1097078250633
"90" -63.955894470215 -39.1097078250633
"93" -70.9095853724265 -39.158996043338
"94" -70.7614429253117 -38.0630429132548
"95" -69.955894470215 -38.1097078245652
"96" -66.955894470215 -39.1097078250633
"97" -68.955894470215 -38.1097078245652
"98" -67.955894470215 -38.1097078245652
"99" -66.955894470215 -38.1097078245652
"100" -65.955894470215 -38.1097078245652
"101" -67.955894470215 -37.1097078240572
"102" -66.955894470215 -37.1097078240573
"103" -65.955894470215 -37.1097078240573
"104" -66.955894470215 -36.1097078235428
"105" -65.955894470215 -36.1097078235428
"106" -70.7979008752567 -37.1180136140328
"107" -69.955894470215 -37.1097078240572
"108" -68.955894470215 -37.1097078240572
"110" -69.936810812347 -36.1196426928854
"111" -68.955894470215 -36.1097078235428
"112" -67.955894470215 -36.1097078235428
"113" -69.9115219991149 -35.1295526862414
"114" -68.955894470215 -35.1097078230257
"115" -67.955894470215 -35.1097078230257
"117" -69.7095866712786 -34.1630136262802
"118" -69.7391496825797 -33.0479881292643
"119" -68.955894470215 -33.1097078220003
"121" -69.8851282864029 -32.077949419095
"126" -67.986375958009 -54.1460023012679
"127" -66.9064386946271 -54.7843422698894
"128" -66.0028526615199 -54.7957806663504
"131" -67.043460881694 -54.3846133096571
"135" -67.955894470215 -44.1097078273074
"136" -66.955894470215 -44.1097078273074
"137" -65.9560496306227 -44.1094962837551
"138" -66.955894470215 -43.1097078268986
"139" -65.955894470215 -43.1097078268986
"140" -65.1213276319873 -43.0546604457252
"142" -65.955894470215 -42.109707826468
"143" -65.1136225733809 -42.1945524797095
"145" -65.1310008904311 -41.0176005813713
"146" -63.9021596802938 -40.850083331221
"147" -62.9997650027314 -40.8540527112341
"149" -63.955894470215 -40.1097078255481
"150" -62.9563764860083 -40.1092611132715
"152" -62.955894470215 -39.1097078250632
"155" -58.9615909293411 -38.1024901044169
"156" -58.0244606449682 -37.9796619980826
"157" -62.0355619365316 -38.9751901014526
"158" -60.9717032588164 -38.7923395505024
"159" -61.955894470215 -38.1097078245652
"160" -60.955894470215 -38.1097078245652
"161" -59.955894470215 -38.1097078245652
"162" -60.955894470215 -37.1097078240573
"163" -59.955894470215 -37.1097078240573
"164" -58.955894470215 -37.1097078240573
"165" -59.955894470215 -36.1097078235428
"166" -58.955894470215 -36.1097078235428
"168" -57.955894470215 -37.1097078240573
"169" -57.1340832568801 -37.0231068042115
"170" -57.1732021666745 -36.3225336544244
"172" -57.955894470215 -36.1097078235428
"173" -59.955894470215 -35.1097078230257
"174" -58.955894470215 -35.1097078230257
"175" -58.003454384752 -35.2062262973555
"176" -58.9713589472944 -34.1137152500994
"179" -64.955894470215 -38.1097078245652
"180" -63.955894470215 -38.1097078245652
"181" -62.955894470215 -38.1097078245652
"182" -64.955894470215 -37.1097078240572
"183" -63.955894470215 -37.1097078240572
"184" -62.955894470215 -37.1097078240573
"185" -61.955894470215 -37.1097078240572
"186" -63.955894470215 -36.1097078235428
"187" -62.955894470215 -36.1097078235428
"188" -61.955894470215 -36.1097078235428
"189" -64.955894470215 -36.1097078235428
"190" -65.955894470215 -35.1097078230257
"191" -64.955894470215 -35.1097078230257
"192" -63.955894470215 -35.1097078230257
"193" -64.955894470215 -34.10970782251
"194" -63.955894470215 -34.10970782251
"195" -62.955894470215 -34.10970782251
"196" -63.955894470215 -33.1097078220003
"197" -62.955894470215 -33.1097078220004
"198" -61.955894470215 -33.1097078220003
"199" -66.955894470215 -35.1097078230257
"200" -68.955894470215 -34.10970782251
"201" -67.955894470215 -34.10970782251
"202" -66.955894470215 -34.10970782251
"203" -65.955894470215 -34.10970782251
"204" -67.955894470215 -33.1097078220003
"205" -66.955894470215 -33.1097078220004
"206" -65.955894470215 -33.1097078220004
"207" -64.955894470215 -33.1097078220003
"208" -66.955894470215 -32.1097078215013
"209" -60.955894470215 -36.1097078235428
"210" -62.955894470215 -35.1097078230257
"211" -61.955894470215 -35.1097078230257
"212" -60.955894470215 -35.1097078230257
"213" -61.955894470215 -34.10970782251
"214" -60.955894470215 -34.10970782251
"215" -59.955894470215 -34.10970782251
"216" -60.955894470215 -33.1097078220003
"217" -59.955894470215 -33.1097078220004
"218" -58.9626440353023 -33.1036652751663
"219" -65.955894470215 -32.1097078215013
"220" -64.955894470215 -32.1097078215013
"221" -65.955894470215 -31.1097078210178
"222" -64.955894470215 -31.1097078210178
"223" -63.955894470215 -31.1097078210178
"224" -65.955894470215 -30.1097078205548
"225" -64.955894470215 -30.1097078205548
"226" -63.955894470215 -30.1097078205548
"227" -62.955894470215 -30.1097078205548
"228" -64.955894470215 -29.1097078201175
"229" -63.955894470215 -32.1097078215013
"230" -62.955894470215 -32.1097078215013
"231" -61.955894470215 -32.1097078215013
"232" -62.955894470215 -31.1097078210178
"233" -61.955894470215 -31.1097078210178
"234" -60.955894470215 -31.1097078210178
"235" -61.955894470215 -30.1097078205548
"236" -60.955894470215 -30.1097078205548
"237" -59.955894470215 -30.1097078205548
"238" -61.955894470215 -29.1097078201175
"239" -60.955894470215 -32.1097078215013
"240" -59.955894470215 -32.1097078215013
"241" -58.955894470215 -32.1097078215013
"242" -59.955894470215 -31.1097078210178
"243" -58.955894470215 -31.1097078210178
"244" -58.1767649614031 -31.0698586018797
"245" -58.955894470215 -30.1097078205548
"246" -58.0049118526815 -30.0633112628519
