"Lon" "Lat" "E"
"com_1" -53.6 -28.1 0.548335979
"com_2" -52.7 -38.9 0.228141833
"com_3" -54 -8 0.060805962
"com_4" -54.7 -31 0.099362545
"com_5" -53.4 -8.8 0.693625635
"com_6" -53.7 -9.9 0.909399155
"com_7" -50.3 -9.8 0.721354648
"com_8" -52.9 -38.2 0.784834129
"com_9" -52.2 -6 0.530419187
"com_10" -53 -36.8 0.073713963
"com_11" -52 -30.7 0.406858893
"com_12" -50.8 -27.8 0.928428864
"com_13" -52.4 -20.3 0.037297775
"com_14" -51.7 -0.4 0.353843405
"com_15" -51.5 -20.6 0.295783309
"com_16" -53.7 -20.7 0.925690871
"com_17" -51.3 -34.4 0.183433761
"com_18" -54.6 -6.7 0.82030278
"com_19" -52.4 -23.3 0.853585108
"com_20" -53.4 -36.7 0.170627273
"com_21" -51.1 -6.1 0.416993572
"com_22" -52 -25.3 0.654944436
"com_23" -53.4 -34.4 0.512615963
"com_24" -50.1 -16.4 0.22838601
"com_25" -52.4 -20.6 0.497418182
"com_26" -51.2 -3.9 0.51199434
"com_27" -50.4 -22.9 0.929905723
"com_28" -51.2 -38.4 0.68199692
"com_29" -52.6 -10.7 0.847077768
"com_30" -50.7 -28.6 0.043860978
"com_31" -52.1 -21.7 0.717286318
"com_32" -51 -27.1 0.424598594
"com_33" -51.4 -21.7 0.960184771
"com_34" -50.5 -15.4 0.024305871
"com_35" -51.7 -24.1 0.787221528
"com_36" -50.7 -27 0.305494749
"com_37" -54 -38.8 0.484532592
"com_38" -53.3 -17 0.857174931
"com_39" -53.4 -29.3 0.309829711
"com_40" -52.6 -18.7 0.448771854
"com_41" -53.6 -20.8 0.24277408
"com_42" -52.6 -19.6 0.10035101
"com_43" -51.1 -7.7 0.249471115
"com_44" -52.4 -33.7 0.136825724
"com_45" -54.1 -29 0.540788997
"com_46" -50 -10.4 0.235286106
"com_47" -50.6 -14.8 0.572688618
"com_48" -50.5 -30.9 0.937859127
"com_49" -50 -7 0.557899413
"com_50" -54.1 -29.3 0.391781861
