sp	atr_x	atr_y
t64	0.842018339	-1.375676825
t4	-0.799224164	-3.132303698
t14	-0.743401055	-3.211732851
t18	-0.966965935	-3.737145311
t92	-0.772329678	-3.38668923
t35	-0.133334285	-2.110647368
t45	-0.184258821	-2.072750269
t5	0.30013975	-1.551397612
t6	0.236612931	-1.826385714
t50	0.040044004	-1.908314563
t25	-0.034480605	-1.997686612
t8	0.07883212	-1.934976593
t100	0.104974026	-1.858461168
t10	-0.166821509	-1.925460421
t70	-0.25304669	-2.044799391
t91	0.245511988	-1.461994508
t21	0.220487577	-1.513496984
t22	0.188435278	-1.557572654
t32	0.119967903	-1.690715058
t42	-0.329723164	-2.230906414
t56	-0.253209195	-1.95120488
t27	-0.091530644	-2.019901869
t84	-0.164632622	-2.229369128
t17	-0.38418131	-2.255836511
t62	-0.430987643	-2.230985856
t2	-3.28636036	-4.580891603
t48	-2.715100504	-3.582581341
t80	-2.507637437	-4.08504946
t71	-1.947686698	-1.40482097
t94	-2.4292575	-1.843260174
t39	-2.33953164	-1.708090245
t86	-2.459593821	-1.836730887
t57	-2.373725947	-2.023137217
t98	-2.349203943	-1.949508426
t75	-2.234188915	-1.890672655
t87	-2.316868052	-1.756276542
t83	-2.202337496	-1.750141401
t31	-2.472798458	-1.637402464
t47	-2.490721284	-1.146084008
t95	-2.49578983	-1.166187535
t99	-2.48810843	-1.153468453
t69	-2.67410024	-1.897624858
t13	-2.428441691	-1.748815729
t49	-2.512406335	-1.751234
t61	-2.677471193	-1.85546201
t65	-2.592653604	-1.911376622
t9	-2.168542262	-1.653929662
t20	-2.109708304	-1.624576963
t66	-2.128672928	-1.628115457
t82	-2.337900085	-1.732080314
t3	-2.528094013	-2.007968219
t77	-2.520716392	-2.084448753
t24	-2.064639173	-2.035958217
t60	-1.945923323	-1.382812296
t90	-1.909192357	-1.355043047
t26	-1.881217832	-1.470552741
t46	-2.359092112	-1.474997029
t53	-1.804325836	-1.264898584
t74	-3.211206711	-2.462969849
t72	-2.108912735	-1.463349153
t1	-1.790706574	-1.198028885
t43	-1.840874033	-1.143730015
t7	-1.737209208	-0.961816415
t19	-1.802330279	-1.081803238
t12	-1.773205168	-1.220015866
t40	-1.791046808	-0.984429272
t59	-1.885859123	-0.980618444
t93	-1.845047846	-1.56918676
t55	-1.632205747	-1.303599951
t67	-1.591467518	-1.273040058
t16	-1.945193428	-1.439030034
t44	-2.208201639	-1.731234364
t41	-2.151188635	-1.629517985
t33	-2.117969018	-1.480025141
t30	-2.244782947	-1.514979925
t28	-1.89010478	-1.58441767
t58	-1.913206337	-1.746680121
t34	-1.980832972	-1.448080313
t78	-1.923773198	-1.8436924
t81	-2.025830639	-2.31644424
t15	-1.933089431	-2.314631017
t37	-2.164255091	-2.290401126
t36	-1.888732705	-2.006842449
t73	-1.86444325	-1.966249987
t89	-1.93265252	-2.093297751
t68	-1.96032579	-2.155471295
t29	-1.470608073	-2.10489808
t54	-1.36187271	-2.291503393
t97	-1.358364108	-2.256730802
t85	-1.412797654	-2.268054298
t51	-1.328356287	-2.109742567
t96	-1.669915805	-2.418576073
t38	-1.699882164	-2.430996849
t88	-1.746335074	-2.023317843
t11	-1.719363633	-2.070859687
t63	-1.890271827	-1.955358343
t79	-1.851331167	-1.970732938
t23	-1.913120764	-2.037683798
t76	0.110257379	-2.851788815
t52	-0.028952949	-2.391724553
