Binomial	BodyMass_g_ind1	BodyMass_g_ind2	BodyMass_g_ind3	BodyMass_g_ind4	BodyMass_g_ind5	BodyMass_g_ind6	BodyMass_g_ind7	BodyMass_g_ind8	BodyMass_g_ind9	BodyMass_g_ind10
Ateles_belzebuth	3.59900924	4.078638038	4.027757205	3.859138297	3.977220447	3.952356477	4.080157311	4.005395032	4.035389709	3.926908102
Ateles_geoffroyi	4.052809328	3.807467376	3.765966425	4.11417714	3.377488383	3.390758529	3.904120213	4.053539396	4.094366298	3.672282625
Ateles_paniscus	3.922310163	3.549861188	4.17498965	4.177103432	3.390228362	3.868879446	3.545554507	3.369215857	4.084826417	3.638089722
Callicebus_moloch	2.665580991	2.440909082	3.196452542	3.010723865	2.916453949	3.20167018	3.034227261	2.844477176	2.5132176	2.979548375
Callimico_goeldii	2.11058971	2.968015714	2.294466226	2.990338855	2.639486489	2.697229343	2.469822016	2.769377326	2.719331287	2.939519253
Callithrix_jacchus	2.525044807	2.103803721	2.374748346	2.204119983	2.488550717	2.658964843	2.471291711	2.352182518	2.515873844	2.527629901
Callithrix_pygmaea	2.330413773	2.220108088	1.995635195	2.045322979	1.62324929	1.982271233	2.008600172	1.740362689	1.544068044	2.10720997
Cercocebus_galeritus	3.912328358	3.949926444	3.90960951	3.645225712	3.532372134	3.776991585	3.515608949	3.931712067	3.179838928	3.669223874
Cercopithecus_ascanius	3.711722892	3.643255225	3.478999132	3.60031933	2.879669206	3.686636269	3.118264726	3.713574538	3.203304916	3.776701184
Cercopithecus_cephus	3.701049631	3.361160995	3.329601248	3.340642378	3.487138375	3.78582792	3.180985581	3.02201574	2.969415912	3.726238047
Cercopithecus_mitis	3.920123326	3.951094557	3.234770295	3.910250772	3.265289626	3.866759783	3.659535907	3.124178055	3.692141609	3.039810554
Cercopithecus_neglectus	3.816903839	3.977220447	3.614475366	3.857814778	3.631748074	3.526210004	3.076640444	3.917663024	3.655426588	3.616265405
Cercopithecus_nictitans	3.553640336	3.925827575	3.641969598	3.346352974	3.758609143	3.803388825	3.798581595	3.642958879	3.942851007	3.556423121
Erythrocebus_patas	3.781180721	3.991137435	3.761401557	3.883661435	3.610553705	4.000043427	3.615107987	3.85308953	4.055263626	3.514813295
Lagothrix_lagotricha	3.881042108	4.012879387	3.148910993	3.761175813	3.923088515	3.859258417	3.25163822	3.828595456	4.022263366	3.92992956
Eulemur_coronatus	3.06069784	2.814913181	2.624282096	2.859738566	2.895422546	3.346352974	3.312600439	3.200029267	2.92992956	3.273695588
Eulemur_fulvus	3.575764981	3.537693194	3.55339751	3.539953842	3.378579576	2.920645001	3.545925329	3.48258777	3.573683693	3.530839779
Eulemur_mongoz	3.342620043	2.82672252	3.448087667	3.148294097	3.406028945	3.341632336	3.231979027	2.619093331	3.294686624	3.07773118
Cebus_albifrons	3.622421274	3.608312043	3.52179165	3.538824989	2.828659897	3.18920949	3.535040813	3.385963571	3.167317335	3.340444115
Cebus_apella	3.108565024	3.570192561	3.596816936	3.367728546	3.31344537	3.325104983	3.365300749	3.278067331	3.567144045	3.049605613
Cebus_capucinus	3.518645524	3.612359948	3.665768551	3.66152874	3.582744966	3.452399846	3.059941888	3.597146488	3.657438323	2.869818208
Cheirogaleus_major	2.644438589	2.596597096	2.795880017	2.334453751	2.792391689	2.557507202	2.342422681	2.687528961	2.8162413	2.004321374
Cheirogaleus_medius	2.298853076	2.117271296	2.130333768	2.309630167	1.84509804	2.498310554	2.117271296	2.356025857	1.897627091	2.408239965
Colobus_guereza	4.221674997	3.400710637	3.534660576	3.805432888	4.027268042	3.833083334	3.535673803	3.962511394	3.656577291	3.988648125
Colobus_polykomos	3.981773319	4.047703108	3.752662943	4.174030718	3.976074732	3.781898919	4.176843385	3.978819387	3.68115075	4.094750552
Daubentonia_madagascariensis	3.251151343	3.116607744	2.788168371	2.984977126	3.364363355	3.132579848	3.632356046	3.638589083	3.283527365	3.632457292
Galago_alleni	1.857332496	1.755874856	2.666517981	2.487138375	2.45484486	2.021189299	2.372912003	2.459392488	2.604226053	2.123851641
Galago_demidoff	1.672097858	1.380211242	1.491361694	1.832508913	1.505149978	2.045322979	1.934498451	1.982271233	2.064457989	1.431363764
Galago_moholi	2.338456494	2.344392274	2.503790683	2.45484486	2.307496038	2.484299839	2.096910013	2.50242712	2.029383778	2
Galago_senegalensis	2.432969291	2.201397124	2.113943352	2.547774705	2.08278537	2.320146286	2.403120521	2.551449998	2.474216264	2.421603927
Hylobates_lar	3.9240207	3.831869774	3.542825427	3.983400738	3.865103975	3.654176542	3.811105607	3.952550294	3.903415586	3.627263417
Hylobates_pileatus	3.985201858	3.405687787	3.444044796	3.871572936	3.162265614	3.873029812	3.983536082	3.463594402	3.707314634	3.859558573
Miopithecus_talapoin	3.110252917	3.219584526	3.309630167	3.344392274	3.147057671	3.274619619	3.234264124	2.963315511	3.34752516	3.033825694
Mirza_coquereli	2.322219295	2.495544338	2.049218023	2.621176282	2.5774918	1.959041392	2.130333768	1.959041392	2.553883027	2.685741739
Lemur_catta	3.23325001	3.093421685	3.068927612	3.397592434	3.589391023	3.329804522	3.571825249	2.928395852	3.590507462	3.2955671
Leontopithecus_rosalia	2.290034611	2.832508913	3.017867719	2.792391689	2.92890769	2.683047038	2.946943271	2.865103975	2.829303773	2.457881897
Lepilemur_leucopus	2.847572659	2.474216264	3.026533265	2.835690571	3.011570444	3.01911629	2.413299764	2.969881644	2.84509804	2.703291378
Lepilemur_mustelinus	2.81756537	2.701567985	2.898725182	3.018700499	3.044147621	2.897077003	2.770115295	2.599883072	3.06669855	3.007320953
Lophocebus_albigena	3.623662707	4.100060224	3.23350376	3.551205944	3.930592488	4.109747238	3.876621916	3.57599562	3.472902652	3.800923182
Loris_tardigradus	2.008600172	2.626340367	2.498310554	2.383815366	2.08278537	2.008600172	1.851258349	2.311753861	1.86332286	2.1430148
Macaca_fascicularis	3.507855872	3.500510911	3.803730171	3.682776646	3.877659244	3.215373153	3.702602841	3.204391332	3.864511081	3.286680969
Macaca_fuscata	4.006508828	4.030437793	3.992906818	4.18344068	3.402089351	4.003374354	4.141637875	3.455301772	3.762903528	4.041511113
Macaca_mulatta	3.835310001	3.618048097	3.975431809	3.845779967	3.947335676	3.979548375	3.868056362	3.755188586	3.947482737	3.802431626
Macaca_nemestrina	3.830845192	3.395501124	4.129561002	3.741860394	4.125318578	3.998564458	4.12086994	3.609167374	3.654272827	4.123394248
Macaca_radiata	3.906819715	3.452859336	3.649918719	3.691523522	3.462248215	3.566790912	3.73255458	3.95114316	3.802978855	3.61658053
Macaca_silenus	4.032538179	3.899929883	3.890756252	3.657629431	3.526855987	3.938819825	3.613207352	3.967032882	3.609701102	3.567496891
Macaca_sinica	3.756331767	3.567379308	3.763502865	3.864511081	3.655426588	3.37621185	3.369030222	3.753353213	3.775901579	3.902764144
Macaca_sylvanus	4.095970922	3.663795122	4.291590826	4.187464315	4.090857396	3.968155937	4.046924174	4.107515226	4.1750477	3.991270389
Mandrillus_sphinx	4.101059355	3.980639567	3.895146189	4.366945664	4.360801613	4.270958185	4.290635526	4.304253497	4.392169149	4.051113917
Microcebus_murinus	1.755874856	1.72427587	2.064457989	1.662757832	2.021189299	2.056904851	1.792391689	1.230448921	1.748188027	1.612783857
Microcebus_rufus	1.278753601	1	1.72427587	1.785329835	1.929418926	1.361727836	1.716003344	1.255272505	1.919078092	1.84509804
Nasalis_larvatus	4.273117068	3.956072337	4.043715858	4.196424914	3.8178297	4.16363836	4.162773439	4.275173096	4.283911526	4.081923104
Nomascus_concolor	3.60346916	3.852296966	3.817499262	3.555094449	4.014184398	3.651181062	4.024567757	3.483872454	4.029911105	4.058426024
Otolemur_crassicaudatus	3.308564414	3.142702246	3.281260687	2.643452676	3.099680641	3.242044239	2.618048097	2.975891136	2.936513742	2.951337519
Otolemur_garnettii	3.053078443	2.600972896	2.613841822	3.002597981	2.874481818	2.451786436	2.822821645	3.094471129	2.876217841	3.15715444
Pan_paniscus	4.525576007	4.02796086	4.582688206	4.003288159	4.756772992	4.634184955	4.549089131	4.528929549	4.661140381	4.706854278
Papio_anubis	3.728110184	4.276714495	4.459543258	3.947041405	4.104691919	3.770189023	4.316054259	4.481557279	4.00134423	4.182927969
