	Species	Diet	Size
Abrothrix_andina	Abrothrix_andina	1	3.785151026
Abrothrix_jelskii	Abrothrix_jelskii	1	4.452475839
Abrothrix_lanosa	Abrothrix_lanosa	1	3.92560078
Abrothrix_longipilis	Abrothrix_longipilis	1	4.434537928
Abrothrix_olivaceus	Abrothrix_olivaceus	1	3.928263502
Aegialomys_galapagoensis	Aegialomys_galapagoensis	1	5.511543732
Aegialomys_xanthaeolus	Aegialomys_xanthaeolus	1	5.696550033
Aepeomys_lugens	Aepeomys_lugens	3	4.745856495
Akodon_aerosus	Akodon_aerosus	1	4.405364056
Akodon_affinis	Akodon_affinis	1	4.149722307
Akodon_albiventer	Akodon_albiventer	1	3.991515658
Akodon_azarae	Akodon_azarae	1	3.904199461
Akodon_boliviensis	Akodon_boliviensis	1	3.808419621
Akodon_budini	Akodon_budini	1	4.425783318
Akodon_cursor	Akodon_cursor	1	4.097519929
Akodon_dayi	Akodon_dayi	1	4.868222996
Akodon_dolores	Akodon_dolores	1	4.259845708
Akodon_fumeus	Akodon_fumeus	1	4.073399511
Akodon_iniscatus	Akodon_iniscatus	1	4.298966066
Akodon_juninensis	Akodon_juninensis	1	3.767755267
Akodon_kofordi	Akodon_kofordi	1	3.955692274
Akodon_lindberghi	Akodon_lindberghi	1	3.767893541
Akodon_lutescens	Akodon_lutescens	1	3.649484171
Akodon_mimus	Akodon_mimus	1	4.196055336
Akodon_mollis	Akodon_mollis	1	4.12629908
Akodon_montensis	Akodon_montensis	1	4.218123404
Akodon_mystax	Akodon_mystax	1	3.628302895
Akodon_orophilus	Akodon_orophilus	1	4.233425119
Akodon_paranaensis	Akodon_paranaensis	1	4.325655065
Akodon_reigi	Akodon_reigi	1	4.270411993
Akodon_serrensis	Akodon_serrensis	1	4.378278227
Akodon_siberiae	Akodon_siberiae	1	4.373343426
Akodon_simulator	Akodon_simulator	1	4.627149463
Akodon_spegazzinii	Akodon_spegazzinii	1	4.032873035
Akodon_subfuscus	Akodon_subfuscus	1	3.892981241
Akodon_sylvanus	Akodon_sylvanus	1	4.60926953
Akodon_toba	Akodon_toba	1	4.519481073
Akodon_torques	Akodon_torques	1	4.166694434
Akodon_varius	Akodon_varius	1	4.611865002
Andalgalomys_pearsoni	Andalgalomys_pearsoni	1	4.732050447
Andinomys_edax	Andinomys_edax	2	5.755841944
Auliscomys_boliviensis	Auliscomys_boliviensis	1	5.454395296
Auliscomys_pictus	Auliscomys_pictus	1	5.027636164
Auliscomys_sublimis	Auliscomys_sublimis	1	4.464295103
Blarinomys_breviceps	Blarinomys_breviceps	3	3.963452829
Brucepattersonius_iheringi	Brucepattersonius_iheringi	3	3.827066736
Brucepattersonius_soricinus	Brucepattersonius_soricinus	3	4.03091587
Calomys_callosus	Calomys_callosus	2	4.289190545
Calomys_laucha	Calomys_laucha	2	3.12860495
Calomys_lepidus	Calomys_lepidus	2	3.739147894
Calomys_musculinus	Calomys_musculinus	2	3.414739506
Calomys_sorellus	Calomys_sorellus	2	3.588017912
Calomys_venustus	Calomys_venustus	2	4.329757036
Cerradomys_langguthi	Cerradomys_langguthi	1	5.488358198
Cerradomys_maracajuensis	Cerradomys_maracajuensis	1	5.659771123
Cerradomys_scotti	Cerradomys_scotti	1	6.127475427
Chelemys_megalonyx	Chelemys_megalonyx	1	5.341664324
Chilomys_instans	Chilomys_instans	3	4.122743252
Delomys_dorsalis	Delomys_dorsalis	1	5.298039593
Delomys_sublineatus	Delomys_sublineatus	1	5.041973902
Deltamys_kempi	Deltamys_kempi	1	3.705408041
Eligmodontia_morgani	Eligmodontia_morgani	1	3.727870683
