	Species	Diet	ProcCoord1	ProcCoord2	ProcCoord3	ProcCoord4	ProcCoord5	ProcCoord6	ProcCoord7	ProcCoord8	ProcCoord9	ProcCoord10	ProcCoord11	ProcCoord12	ProcCoord13	ProcCoord14	ProcCoord15	ProcCoord16	ProcCoord17	ProcCoord18	ProcCoord19	ProcCoord20	ProcCoord21	ProcCoord22	ProcCoord23	ProcCoord24	ProcCoord25	ProcCoord26
Abrothrix_andina	Abrothrix_andina	1	-0.33721364	-0.1225115	-0.410618752	0.002985285	-0.272362773	-0.037206201	-0.226429221	0.014651226	-0.012722686	0.037189555	0.16784866	0.197114513	0.13424812	0.119167709	0.278978574	0.151185841	0.345790612	0.086063961	0.227204642	-0.047690924	0.31191977	-0.117666776	0.006202717	-0.121635912	-0.212846022	-0.161646777
Abrothrix_jelskii	Abrothrix_jelskii	1	-0.343460463	-0.11089639	-0.403331927	-0.011736916	-0.271953531	-0.042390843	-0.220699971	-8.92E-04	-0.012638352	0.035959035	0.182488871	0.193244931	0.132570446	0.107481383	0.276235595	0.148244239	0.348245037	0.091938985	0.23415771	-0.03671987	0.311452445	-0.112140399	0.004164835	-0.114735767	-0.237230698	-0.147356504
Abrothrix_lanosa	Abrothrix_lanosa	1	-0.350268473	-0.108439088	-0.419493543	-0.017120099	-0.262065292	-0.045180469	-0.223831778	-0.00701722	-0.016738777	0.023053755	0.176510929	0.158644344	0.147173571	0.097150938	0.290833416	0.144119887	0.35331768	0.097028763	0.222572439	-0.022139708	0.329434816	-0.097552973	-0.010020659	-0.088174986	-0.237424328	-0.134373143
Abrothrix_longipilis	Abrothrix_longipilis	1	-0.344359526	-0.110375482	-0.417963435	-0.008177974	-0.260102649	-0.043659237	-0.218179023	-0.006546853	-0.008132256	0.038627297	0.165732089	0.175079273	0.12169324	0.100296785	0.283187882	0.144074993	0.355644864	0.091030318	0.245282485	-0.026607338	0.318217929	-0.108510394	-0.002256697	-0.105239754	-0.238764904	-0.139991634
Abrothrix_olivaceus	Abrothrix_olivaceus	1	-0.337132253	-0.116219883	-0.396072697	-0.008152558	-0.260303487	-0.040873041	-0.208308151	0.013784995	-0.027524195	0.035689485	0.151963697	0.192871484	0.129886149	0.116698007	0.283715015	0.151095931	0.359037548	0.087882468	0.239935698	-0.029740237	0.310771792	-0.127870969	0.007174956	-0.118494519	-0.253144073	-0.156671164
Aegialomys_galapagoensis	Aegialomys_galapagoensis	1	-0.346232846	-0.110616227	-0.384166177	0.00598998	-0.261011134	-0.036300725	-0.217297112	0.012860662	8.73E-04	0.034287506	0.142194152	0.17588166	0.143736366	0.124010993	0.262132831	0.154626086	0.346416573	0.092308878	0.271198862	-0.026115809	0.31816324	-0.112337783	-0.028857079	-0.148069399	-0.247150219	-0.166525822
Aegialomys_xanthaeolus	Aegialomys_xanthaeolus	1	-0.332486732	-0.117281291	-0.380477496	0.004103022	-0.265384019	-0.031352204	-0.217635474	0.021034181	-0.015749198	0.044152182	0.135390545	0.181805827	0.138516404	0.123741816	0.263523555	0.155516393	0.347675255	0.090802962	0.269499842	-0.034842213	0.322670884	-0.127077321	-0.015303473	-0.13939474	-0.250240094	-0.171208613
Aepeomys_lugens	Aepeomys_lugens	3	-0.344420221	-0.104059828	-0.420795063	-0.014487215	-0.255615995	-0.04622712	-0.21338171	-0.006881376	-0.010446129	0.02640288	0.160691517	0.191422273	0.124956234	0.091840568	0.279077257	0.140991424	0.355990702	0.094292537	0.26405202	-0.028005915	0.309602696	-0.112798738	-0.0072954	-0.097206204	-0.242415909	-0.135283287
Akodon_aerosus	Akodon_aerosus	1	-0.343962248	-0.110977154	-0.415756101	-0.008796984	-0.267161129	-0.041629049	-0.225799172	0.015293302	-0.011668691	0.045775093	0.165819011	0.189434056	0.132390892	0.109808242	0.25473871	0.125423327	0.324387829	0.069728547	0.263574896	-0.029340686	0.337413646	-0.104190145	0.024873325	-0.113795246	-0.238850969	-0.146733301
Akodon_affinis	Akodon_affinis	1	-0.338947253	-0.111613235	-0.404996621	-0.008907361	-0.268230465	-0.042336783	-0.232025849	0.011110297	-0.01607523	0.051448249	0.165555943	0.204110679	0.130261755	0.116045941	0.25464064	0.120291814	0.324005061	0.062250939	0.270413458	-0.03331557	0.334751183	-0.105478957	0.022727763	-0.114659671	-0.242080387	-0.148946342
Akodon_albiventer	Akodon_albiventer	1	-0.344681099	-0.113838413	-0.413412919	-0.002172287	-0.263779014	-0.040267949	-0.214498925	0.00463742	-0.008328713	0.043015735	0.174765022	0.203927052	0.138358432	0.123977809	0.260750278	0.137652745	0.320972313	0.068703331	0.248975948	-0.038039785	0.324773468	-0.105258471	0.01571268	-0.127891779	-0.23960747	-0.154445408
Akodon_azarae	Akodon_azarae	1	-0.349783846	-0.112101071	-0.410760621	-0.002514505	-0.265531116	-0.043130576	-0.219753639	0.016691843	-0.009065563	0.048304275	0.170173651	0.199121583	0.135138366	0.119765537	0.248383214	0.129070666	0.31446842	0.06629486	0.250736043	-0.031104895	0.341653426	-0.114714055	0.034580333	-0.117955397	-0.240238668	-0.157728265
Akodon_boliviensis	Akodon_boliviensis	1	-0.349381016	-0.108906704	-0.415720796	-0.001307687	-0.262208197	-0.041812817	-0.217439242	0.014128164	-0.005751788	0.046606756	0.163170251	0.190911661	0.129556908	0.116426346	0.240152397	0.127740652	0.319618035	0.065233577	0.262796016	-0.027385575	0.34535604	-0.11100733	0.036400122	-0.117552343	-0.246548729	-0.153074699
Akodon_budini	Akodon_budini	1	-0.352380934	-0.102326057	-0.419457954	-0.006769697	-0.264301616	-0.04787809	-0.220081649	0.011488808	0.003837723	0.047255434	0.14087638	0.183512492	0.126221612	0.110699571	0.254442412	0.126683891	0.327705213	0.066546434	0.276372495	-0.036252022	0.331126241	-0.100578498	0.047276865	-0.108832	-0.251636786	-0.143550266
Akodon_cursor	Akodon_cursor	1	-0.346575785	-0.111981296	-0.415850606	-0.007387007	-0.263479283	-0.041824831	-0.213381468	0.016331749	-0.011010628	0.046568927	0.169125912	0.192001877	0.134777824	0.116223324	0.244488436	0.129358409	0.317250544	0.064460343	0.267435311	-0.021463372	0.342026069	-0.114091422	0.017907329	-0.116031786	-0.242713654	-0.152164915
Akodon_dayi	Akodon_dayi	1	-0.33998876	-0.112569261	-0.410947158	-0.003377669	-0.267376303	-0.04050797	-0.222128082	0.009616278	-0.013881043	0.044814805	0.176944097	0.196061551	0.135408593	0.1232537	0.245904617	0.132609048	0.316429826	0.060044283	0.26403462	-0.02569715	0.336285931	-0.11066098	0.023933387	-0.119383427	-0.244619725	-0.154203207
Akodon_dolores	Akodon_dolores	1	-0.339180953	-0.118041428	-0.404671384	0.003834237	-0.267383006	-0.039696182	-0.217962372	0.017245821	-0.018416586	0.046813379	0.166792507	0.208094188	0.144812561	0.133767911	0.247807144	0.132855099	0.315515911	0.064428133	0.251825261	-0.037304621	0.336337251	-0.117776419	0.022301106	-0.130517963	-0.237777439	-0.163702153
Akodon_fumeus	Akodon_fumeus	1	-0.35510064	-0.107980185	-0.41927357	-0.007053687	-0.264977063	-0.042857832	-0.215001427	0.005071375	0.001123703	0.045962674	0.15740305	0.17984377	0.135354841	0.119470859	0.252340842	0.129506178	0.320920996	0.065201612	0.260982862	-0.025723403	0.338887689	-0.106241047	0.034614318	-0.110262289	-0.247275601	-0.144938024
Akodon_iniscatus	Akodon_iniscatus	1	-0.331721103	-0.122404423	-0.408903555	4.24E-04	-0.270199341	-0.037322268	-0.224056794	0.011072199	-0.020316606	0.036492272	0.190017696	0.209490593	0.143147142	0.13066838	0.255764115	0.129607418	0.313675721	0.074689107	0.24885733	-0.034730015	0.321560463	-0.117452964	0.025049105	-0.119201945	-0.242874174	-0.161332109
Akodon_juninensis	Akodon_juninensis	1	-0.351810155	-0.107036223	-0.416309885	-0.007442533	-0.266335677	-0.045272092	-0.220004145	0.007899203	-0.001080447	0.044389752	0.168558615	0.186952598	0.131608179	0.108530774	0.252159748	0.124033978	0.316788723	0.067769095	0.258173747	-0.02174039	0.343137069	-0.104032353	0.037646859	-0.108394916	-0.252532631	-0.145656893
Akodon_kofordi	Akodon_kofordi	1	-0.361782811	-0.107095792	-0.421574063	-0.010607397	-0.266991927	-0.043096877	-0.209295206	0.011101784	0.010096759	0.043505562	0.169516029	0.185646921	0.142599825	0.121158535	0.243738508	0.129595516	0.317703549	0.064412405	0.259366513	-0.022288458	0.32811482	-0.1027979	0.033007456	-0.119122386	-0.244499453	-0.150411912
Akodon_lindberghi	Akodon_lindberghi	1	-0.351675239	-0.106294359	-0.408326973	-6.19E-04	-0.262074753	-0.040685528	-0.216619173	0.010564891	-0.008191586	0.047653084	0.146228209	0.181711815	0.115305031	0.109375839	0.251704312	0.134102375	0.328991321	0.062029057	0.265669125	-0.022838123	0.358475972	-0.111893367	0.025038153	-0.115301393	-0.2445244	-0.14780481
Akodon_lutescens	Akodon_lutescens	1	-0.348881949	-0.113610665	-0.414659983	0.001056324	-0.269381456	-0.043024792	-0.217626539	0.012313031	7.77E-04	0.050333747	0.165278633	0.188751877	0.137533222	0.120936451	0.242656713	0.127798224	0.316140804	0.065902436	0.257595465	-0.028718069	0.338637397	-0.110142632	0.039623329	-0.115181266	-0.247692973	-0.156414667
Akodon_mimus	Akodon_mimus	1	-0.356190079	-0.097014246	-0.432512205	-0.007372264	-0.258529097	-0.044344267	-0.219777678	-0.0081252	0.009959902	0.0494476	0.139507418	0.177264905	0.11704419	0.087425331	0.264011126	0.117216949	0.325264787	0.072337691	0.27565494	-0.02404935	0.351826036	-0.092928506	0.030127605	-0.101153652	-0.246386945	-0.12870499
Akodon_mollis	Akodon_mollis	1	-0.345162614	-0.110120316	-0.416395616	-0.004320012	-0.268010795	-0.042526045	-0.221975929	0.005659644	-0.008158165	0.045013916	0.16845333	0.191335336	0.136143578	0.116610337	0.246876599	0.124108002	0.32106869	0.06455884	0.261732402	-0.026839685	0.335126095	-0.104224251	0.041384567	-0.11218578	-0.251082142	-0.147069985
Akodon_montensis	Akodon_montensis	1	-0.348976016	-0.110954677	-0.41424729	-0.008374139	-0.264839727	-0.042649457	-0.216237154	0.014065473	-0.006611821	0.048210849	0.167076602	0.190025714	0.130463374	0.111530264	0.248647071	0.129423717	0.319991932	0.0663169	0.26412235	-0.021774215	0.343539137	-0.112933532	0.019265804	-0.113798086	-0.242194263	-0.149088811
Akodon_mystax	Akodon_mystax	1	-0.353200189	-0.106235298	-0.4142232	-0.010103347	-0.269292004	-0.04344129	-0.222288992	0.009442039	0.002505047	0.04621373	0.157300668	0.18470554	0.129422237	0.112059757	0.246119086	0.122295511	0.325673141	0.059997914	0.273052023	-0.031038839	0.343441245	-0.093748726	0.027548217	-0.106619309	-0.246057279	-0.143527683
Akodon_orophilus	Akodon_orophilus	1	-0.344648943	-0.108858298	-0.419025301	-0.011938599	-0.270027669	-0.044196567	-0.225253382	0.002162957	0.001053189	0.044124033	0.16796088	0.185218183	0.135361636	0.111267525	0.259100159	0.121469975	0.322840689	0.069080834	0.261719147	-0.023511029	0.330160994	-0.100146236	0.034954143	-0.103837357	-0.254195542	-0.140835422
Akodon_paranaensis	Akodon_paranaensis	1	-0.354805368	-0.104796826	-0.415975156	-0.004069468	-0.263719519	-0.042343742	-0.216936217	0.010429974	1.39E-04	0.04980623	0.15229449	0.193361537	0.118513463	0.096303112	0.251321212	0.122473472	0.323474049	0.069030457	0.274845737	-0.025148794	0.346901821	-0.103921664	0.024146453	-0.115284891	-0.240199629	-0.145839396
Akodon_reigi	Akodon_reigi	1	-0.341219799	-0.118170159	-0.41811462	-0.009143508	-0.264892659	-0.043837173	-0.215713004	0.00684552	-0.009656681	0.051465661	0.167010715	0.190806203	0.141360243	0.118617682	0.255298617	0.132513786	0.326583662	0.060262955	0.2584809	-0.019584924	0.336260502	-0.115442639	0.002729682	-0.106598578	-0.238127557	-0.147734826
Akodon_serrensis	Akodon_serrensis	1	-0.348513548	-0.109119312	-0.414841288	-0.003662343	-0.26386792	-0.043070313	-0.214558097	0.023895933	-0.008464517	0.047727415	0.150663795	0.188239811	0.122189138	0.107418936	0.249275669	0.130765636	0.323881172	0.068463837	0.268149906	-0.027792631	0.349532133	-0.112061897	0.025348207	-0.12236251	-0.23879465	-0.148442561
Akodon_siberiae	Akodon_siberiae	1	-0.352550625	-0.103436712	-0.413455059	-0.008745555	-0.265739017	-0.045221854	-0.221467654	0.01562197	-0.008942118	0.046774966	0.133885087	0.18490098	0.124698158	0.106011142	0.256024	0.127013038	0.329913915	0.066097718	0.278443946	-0.032079173	0.339200288	-0.110448779	0.045680496	-0.10432195	-0.245691417	-0.14216579
Akodon_simulator	Akodon_simulator	1	-0.347764334	-0.111155753	-0.412380681	-0.002633854	-0.265642197	-0.039855729	-0.222021412	0.007159581	-0.007965164	0.049295469	0.164741865	0.196001847	0.133747523	0.120025684	0.253498958	0.130976169	0.323476681	0.064825338	0.258874875	-0.026693045	0.325826528	-0.112838728	0.038299473	-0.120530992	-0.242692114	-0.154575987
Akodon_spegazzinii	Akodon_spegazzinii	1	-0.34762666	-0.112094123	-0.419371704	-0.003587915	-0.268747381	-0.043665406	-0.218927889	0.014441544	0.002358118	0.053223384	0.175320967	0.192221897	0.121850622	0.109064471	0.245114078	0.129834002	0.323316341	0.068668153	0.259379521	-0.033818034	0.330873583	-0.10613846	0.040241731	-0.113914489	-0.243781326	-0.154235023
Akodon_subfuscus	Akodon_subfuscus	1	-0.345721461	-0.110983723	-0.417072312	-0.003324841	-0.267355434	-0.043806403	-0.220181337	0.011543426	-0.008186848	0.042970474	0.168926243	0.19146011	0.139370529	0.11739757	0.250330971	0.128688358	0.316544988	0.066880076	0.252247229	-0.025338254	0.339901682	-0.110117658	0.036507586	-0.115459822	-0.245311836	-0.149909313
Akodon_sylvanus	Akodon_sylvanus	1	-0.346024137	-0.11315291	-0.403257599	-0.007593262	-0.267385896	-0.040122099	-0.214322783	0.020475814	-0.029617143	0.040338869	0.165252525	0.195639132	0.143503121	0.115842638	0.25939615	0.132431736	0.322130577	0.065985814	0.258733463	-0.0217812	0.335300955	-0.109411946	0.020355163	-0.124196158	-0.244064397	-0.154456427
Akodon_toba	Akodon_toba	1	-0.338229279	-0.114086543	-0.414738969	0.001454849	-0.2674537	-0.03946864	-0.224181715	0.005804083	-0.018573412	0.04237163	0.180808152	0.197493037	0.141995463	0.127565042	0.249922212	0.137591423	0.318555659	0.067898428	0.252105167	-0.02976816	0.321314503	-0.115430408	0.040319331	-0.126205611	-0.241843413	-0.15521913
Akodon_torques	Akodon_torques	1	-0.352996306	-0.105116169	-0.428600916	-0.011108026	-0.264808377	-0.042698839	-0.22485505	0.004969032	0.002355593	0.046250876	0.154969677	0.178411846	0.127073545	0.094862872	0.262809604	0.118716212	0.326545822	0.071242057	0.265646754	-0.021145195	0.338035121	-0.095268287	0.036930465	-0.10302832	-0.243105932	-0.13608806
Akodon_varius	Akodon_varius	1	-0.352429546	-0.110156678	-0.40817574	-0.003570236	-0.263546575	-0.04005239	-0.220599859	0.006696521	-0.011293839	0.051499821	0.164722067	0.200866393	0.138344928	0.115805518	0.246877785	0.127574575	0.323799742	0.065809633	0.260990865	-0.027545388	0.33123985	-0.112103635	0.031837487	-0.119823386	-0.241767164	-0.155000748
Andalgalomys_pearsoni	Andalgalomys_pearsoni	1	-0.339110776	-0.11524775	-0.402212546	0.003296303	-0.264902272	-0.040997582	-0.204764494	0.012683521	0.001436219	0.036612547	0.172385866	0.185001916	0.144185564	0.119544044	0.270422591	0.1677749	0.346306249	0.098567074	0.214402827	-0.042237787	0.323806736	-0.115393711	-0.023082684	-0.142073736	-0.23887328	-0.167529739
