	Size
Abrawayaomys_ruschii	7.4015666
Abrothrix_andina	5.835017657
Abrothrix_jelskii	6.833013477
Abrothrix_lanosa	6.035184643
Abrothrix_longipilis	6.807231601
Abrothrix_olivacea	6.034480199
Aegialomys_xanthaeolus	8.605759887
Aepeomys_lugens	7.086195223
Akodon_aerosus	6.765562942
Akodon_affinis	6.381574952
Akodon_albiventer	6.125610672
Akodon_azarae	6.023247849
Akodon_boliviensis	5.83691393
Akodon_budini	6.757124568
Akodon_caenosus	5.393882325
Akodon_cursor	6.257998984
Akodon_dayi	7.469203994
Akodon_dolores	6.504234082
Akodon_fumeus	6.22916199
Akodon_iniscatus	6.626660296
Akodon_juninensis	5.782664848
Akodon_kofordi	6.150460348
Akodon_lindberghi	5.621063203
Akodon_lutescens	5.582261997
Akodon_mimus	6.386075021
Akodon_mollis	6.341380172
Akodon_montensis	6.446482045
Akodon_mystax	5.419858624
Akodon_orophilus	6.504171273
Akodon_paranaensis	6.485738481
Akodon_reigi	6.305838691
Akodon_sanctipaulensis	6.91886264
Akodon_serrensis	6.586968445
Akodon_siberiae	6.719486259
Akodon_simulator	7.096524756
Akodon_spegazzinii	6.196179645
Akodon_subfuscus	6.001969105
Akodon_surdus	6.728493458
Akodon_sylvanus	7.050285786
Akodon_toba	6.950349866
Akodon_torques	6.395049779
Akodon_varius	7.070597303
Andalgalomys_pearsoni	7.215717381
Andinomys_edax	8.664304922
Anotomys_leander	6.757475309
Auliscomys_boliviensis	8.297265775
Auliscomys_pictus	7.687429129
Auliscomys_sublimis	6.759943886
Blarinomys_breviceps	5.864246588
Brucepattersonius_iheringi	5.866650273
Brucepattersonius_soricinus	6.4115059
Calomys_callosus	6.587935296
Calomys_laucha	4.836526683
Calomys_lepidus	5.733221283
Calomys_musculinus	5.267944946
Calomys_sorellus	5.520765723
Calomys_venustus	6.625654138
Cerradomys_langguthi	8.409984459
Cerradomys_maracajuensis	8.624437627
Cerradomys_scotti	9.364261543
Chelemys_megalonyx	7.861387636
Chibchanomys_trichotis	6.893928488
Chilomys_instans	6.31101656
Chinchillula_sahamae	9.940214088
Delomys_dorsalis	8.116563695
Delomys_sublineatus	7.754751547
Deltamys_kempi	5.598056775
Eligmodontia_morgani	5.730899184
Eremoryzomys_polius	8.503348696
Euneomys_chinchilloides	7.888661996
Euneomys_petersoni	7.684416708
Euryoryzomys_legatus	8.79528661
Euryoryzomys_macconnelli	8.516251118
Euryoryzomys_nitidus	7.89291082
Euryoryzomys_russatus	8.506728774
Galenomys_garleppii	7.085243974
Geoxus_valdivianus	6.359026931
Graomys_domorum	8.452840457
Graomys_griseoflavus	7.917281376
Handleyomys_alfaroi	6.497780975
Handleyomys_intectus	6.662558953
Holochilus_brasiliensis	10.32400501
Holochilus_sciureus	10.05220429
Hylaeamys_megacephalus	7.453283798
Hylaeamys_oniscus	8.546961534
