	T1	T2
Struthioniformes	0.771635797	1.061479835
Tinamiformes	1.539226615	1.061493118
Craciformes	0.973555886	1.062539614
Galliformes	1.015607783	1.062516892
Anseriformes	1.379799097	1.062384889
Turniciformes	1.195287375	1.023745523
Piciformes	0.136317086	1.01452861
Galbuliformes	1.682416356	1.016966228
Bucerotiformes	1.717987784	1.016328796
Upupiformes	1.995320029	1.016278272
Trogoniformes	0.5162671	1.015101497
Coraciiformes	0.096604277	1.015053549
Coliiformes	0.782290591	1.002930702
Cuculiformes	0.37729944	0.998803564
Psittaciformes	0.538822526	1.006533618
Apodiformes	1.078522668	0.984793312
Trochiliformes	0.368599128	0.984842081
Musophagiformes	0.884519377	0.985793689
Strigiformes	1.080539444	0.98584821
Columbiformes	1.31795436	0.994730489
Gruiformes	1.048771218	0.994580068
Ciconiiformes	0.498451589	0.994493143
Passeriformes	0.921722456	0.994799448
